"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"3204708";"São Gabriel da Palha (ES)";"Total";"18384";"7923";"30";"23";"-";"289";"1588";"-";"10"
"MU";"3204807";"São José do Calçado (ES)";"Total";"5009";"3572";"37";"27";"-";"119";"738";"-";"55"
"MU";"3204906";"São Mateus (ES)";"Total";"52886";"35385";"601";"366";"-";"5330";"11941";"93";"150"
"MU";"3204955";"São Roque do Canaã (ES)";"Total";"7619";"1841";"24";"-";"-";"85";"179";"-";"70"
"MU";"3205002";"Serra (ES)";"Total";"159547";"179396";"3261";"2593";"82";"31350";"70510";"242";"329"
"MU";"3205010";"Sooretama (ES)";"Total";"9865";"7811";"-";"39";"-";"950";"3553";"-";"-"
"MU";"3205036";"Vargem Alta (ES)";"Total";"12093";"3940";"95";"87";"-";"162";"512";"-";"-"
"MU";"3205069";"Venda Nova do Imigrante (ES)";"Total";"15387";"4480";"156";"113";"-";"98";"677";"-";"14"
"MU";"3205101";"Viana (ES)";"Total";"23432";"25907";"213";"139";"36";"1831";"11541";"-";"42"
"MU";"3205150";"Vila Pavão (ES)";"Total";"3360";"3871";"3";"-";"-";"85";"464";"-";"-"
"MU";"3205176";"Vila Valério (ES)";"Total";"7131";"4097";"5";"15";"-";"65";"546";"-";"28"
"MU";"3205200";"Vila Velha (ES)";"Total";"185477";"150881";"6257";"3162";"220";"20829";"46448";"257";"262"
"MU";"3205309";"Vitória (ES)";"Total";"141066";"80564";"7415";"2223";"23";"13611";"42581";"44";"294"
