uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
PR;Mariópolis;-26.3558427427;-52.5577480021;5511;81.945;16.222;0.272;0.0;0.0;0.944;0.617;0.0;0.0
PR;Maripá;-24.4172088393;-53.833477783;5729;58.457;39.064;0.07;0.035;0.0;0.576;1.728;0.07;0.0
PR;Marmeleiro;-26.148697193;-53.0261839783;13702;81.521;15.136;0.175;0.321;0.029;0.92;1.825;0.073;0.0
PR;Marquinho;-25.1122123613;-52.2569829528;3877;91.334;6.629;0.0;0.0;0.155;0.077;1.806;0.0;0.0
PR;Marumbi;-23.7063690371;-51.6410803665;4121;81.315;14.244;0.194;0.146;0.0;1.432;2.669;0.0;0.0
PR;Matelândia;-25.2379210129;-53.9743873417;15770;71.103;25.079;0.127;0.07;0.0;1.021;2.575;0.0;0.025
PR;Matinhos;-25.8164097029;-48.5337711878;34362;50.276;29.882;2.183;1.959;0.0;4.38;11.161;0.0;0.16
PR;Mato Rico;-24.7073171879;-52.1462585798;2878;87.908;11.049;0.0;0.0;0.0;0.799;0.243;0.0;0.0
PR;Mauá da Serra;-23.9012964431;-51.2264634714;7880;55.99;35.47;0.0;0.063;0.0;2.335;6.142;0.0;0.0
PR;Medianeira;-25.2924975;-54.0917821269;47314;68.675;23.433;0.459;0.161;0.0;1.477;5.753;0.032;0.011
PR;Mercedes;-24.4488897646;-54.1644357172;5205;53.429;43.401;0.0;0.0;0.0;0.884;2.286;0.0;0.0
PR;Mirador;-23.2574075418;-52.7769349283;1900;69.842;25.895;0.0;0.0;0.0;0.211;3.947;0.0;0.105
PR;Miraselva;-22.9660925761;-51.4857072491;1746;79.84;19.301;0.344;0.0;0.0;0.344;0.0;0.0;0.172
PR;Missal;-25.0911596681;-54.2431753258;9903;81.874;13.834;0.0;0.05;0.0;1.323;2.918;0.0;0.0
PR;Moreira Sales;-24.0447582369;-53.0134465697;9979;74.396;23.61;0.13;0.1;0.0;0.681;0.922;0.0;0.16
PR;Morretes;-25.4784816834;-48.8315391963;15891;42.666;40.293;0.862;0.478;0.05;2.744;12.636;0.0;0.271
PR;Munhoz de Melo;-23.1456928031;-51.7757579076;3440;76.366;19.68;0.174;0.0;0.0;2.326;1.453;0.0;0.0
PR;Nossa Senhora das Graças;-22.9105625093;-51.795147524;3206;69.682;23.706;0.218;0.218;0.0;1.154;5.022;0.0;0.0
PR;Nova Aliança do Ivaí;-23.1774555298;-52.6019227273;1159;77.998;17.429;0.0;0.0;0.0;1.381;3.192;0.0;0.0
PR;Nova América da Colina;-23.3326866675;-50.7144428466;2911;66.781;26.554;0.0;0.0;0.0;4.225;2.302;0.0;0.137
PR;Nova Aurora;-24.528485329;-53.2575255396;11903;81.652;15.492;0.202;0.059;0.0;1.185;1.411;0.0;0.0
PR;Nova Cantu;-24.670778845;-52.5709921605;5932;84.777;12.256;0.084;0.084;0.0;0.843;1.955;0.0;0.0
PR;Nova Esperança;-23.1842513922;-52.2048663634;23462;64.035;30.398;0.32;0.0;0.0;2.063;3.184;0.0;0.0
PR;Nova Esperança do Sudoeste;-25.8987792083;-53.2642073186;4869;88.971;9.694;0.0;0.0;0.0;0.842;0.267;0.0;0.226
PR;Nova Fátima;-23.4323585709;-50.5623142176;6424;69.007;26.806;0.0;0.0;0.0;1.214;2.973;0.0;0.0
PR;Nova Laranjeiras;-25.3067459166;-52.5393704515;10099;81.969;11.516;0.475;0.0;1.208;4.0;0.832;0.0;0.0
PR;Nova Londrina;-22.7638686048;-52.9863126299;11217;71.356;24.793;0.303;0.205;0.0;0.972;2.077;0.0;0.294
PR;Nova Olímpia;-23.4711009791;-53.091232951;5146;71.57;23.455;0.0;0.0;0.0;0.525;4.45;0.0;0.0
