Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,Machico,Voto nulo,208
2026 - 2.ª volta,Ponta do Sol,Voto nulo,131
2026 - 2.ª volta,Porto Moniz,Voto nulo,51
2026 - 2.ª volta,Ribeira Brava,Voto nulo,234
2026 - 2.ª volta,Santa Cruz,Voto nulo,619
2026 - 2.ª volta,Santana,Voto nulo,79
2026 - 2.ª volta,São Vicente,Voto nulo,61
2026 - 2.ª volta,Porto Santo,Voto nulo,81
2026 - 2.ª volta,Alcobaça,Voto nulo,642
2026 - 2.ª volta,Alvaiázere,Voto nulo,70
2026 - 2.ª volta,Ansião,Voto nulo,113
2026 - 2.ª volta,Batalha,Voto nulo,209
2026 - 2.ª volta,Bombarral,Voto nulo,111
2026 - 2.ª volta,Caldas da Rainha,Voto nulo,384
2026 - 2.ª volta,Castanheira de Pêra,Voto nulo,28
2026 - 2.ª volta,Figueiró dos Vinhos,Voto nulo,67
2026 - 2.ª volta,Leiria,Voto nulo,1419
2026 - 2.ª volta,Marinha Grande,Voto nulo,345
2026 - 2.ª volta,Nazaré,Voto nulo,105
2026 - 2.ª volta,Óbidos,Voto nulo,107
2026 - 2.ª volta,Pedrógão Grande,Voto nulo,29
2026 - 2.ª volta,Peniche,Voto nulo,176
2026 - 2.ª volta,Pombal,Voto nulo,588
2026 - 2.ª volta,Porto de Mós,Voto nulo,264
2026 - 2.ª volta,Alenquer,Voto nulo,372
2026 - 2.ª volta,Azambuja,Voto nulo,199
2026 - 2.ª volta,Cadaval,Voto nulo,105
